	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
1	Policia	Поліція	警察	경찰	警察	警察	UI
2	Doutor	Доктор	医者	의사	医生	醫生	UI
3	Voce nao pode ir a lugar nenhum.	Ви не можете нікуди виходити.	どこにも行けません。	지금은 어디에도 갈 수 없습니다.	您哪里也不能去	您哪裡也不能去	UI
4	Fechado	Закрито	休業	휴무	不营业	不營業	UI
5	O Mercado de Acoes fica fechado nos fins de semana.	Сьогодні вихідний, біржа не працює.	週末は株式市場は休みです。	휴일에는 주식 시장을 열지 않습니다.	股市周末休市。	股市週末休市。	UI
6	Banco nao abre nos fins de semana.	Сьогодні вихідний, банк не працює.	週末は銀行は休みです。	휴일에는 은행을 열지 않습니다.	银行周末不营业。	銀行週末不營業。	UI
7	Estamos prontos para lhe dar um emprestimo de#{global.summa} a <bankpro>% #Nos sacaremos o montante requerido da sua conta todo mes.	Ми готові надати вам кредит у#{global.summa} під <bankpro>%. Ми зніматимемо з вашого рахунку потрібну суму кожен місяць.	金利<bankpro>%で#{global.summa}の融資をご提供する準備ができています。#毎月お客様の口座から必要な金額をお引き落としします。	#{global.summa} <bankpro>% 금리로 대출해 드릴 수 있습니다.#매달 계좌에서 일정 금액이 상환됩니다.	我们准备为您提供贷款#{global.summa}，利率为 <bankpro>%#将每月从您账户中扣除所需金额。	我們準備為您提供貸款#{global.summa}，利率為 <bankpro>%#將每月從您帳戶中扣除所需金額。	UI
8	Banco	Банк	銀行	은행	银行	銀行	UI
9	Felicidade	Щастя	幸福度	행복	幸福	幸福	UI
10	Conforto	Комфорт	快適度	편의	舒适	舒適	UI
11	Estresse	Стрес	ストレス	스트레스	压力	壓力	UI
12	Despesas pessoais	Особисті витрати	個人的経費	개인 지출	个人开支	個人開支	UI
13	Despesas medicas	Витрати на лікування	医療費	치료비	治疗费用	治療費用	UI
14	Gastou ontem	Учора витрачено ~	昨日の出費～	어제의 지출 ~	昨日花费～	昨日花費～	UI
15	Voce esta sob custodia	Ви під вартою	あなたは拘留されています	구속된 상태입니다	您被拘留了	您被拘留了	UI
16	O estado fornece a voce	Вас забезпечує держава	国からの支給	국가 지원:	国家提供	國家提供	UI
17	FIM DE JOGO	ГРУ ЗАКІНЧЕНО	ゲームオーバー	게임 오버	游戏结束	遊戲結束	UI
18	Sua casa:	"Ваше житло: "	所有住宅：	소유 주택:	您的房产：	您的房產：	UI
19	Habitacao de aluguel (10000 ienes por dia)	Орендоване житло (10000 єн за добу)	賃貸住宅（1泊10,000円）	임대 (10000엔/일)	租房（每天 {yen_money}）	租房（每天 {yen_money}）	UI
20	Seu carro:	"Ваша машина: "	所有車：	소유 차량:	您的车辆：	您的車輛：	UI
21	Fortuna:	Загальний статок:	資産：	재산:	财产：	財產：	UI
22	Receita:	"Дохід: "	収入：	수입:	收入：	收入：	UI
23	Despesas:	"Витрати: "	支出：	지출:	支出：	支出：	UI
24	Lucro:	"Прибуток: "	純利益：	수익:	利润：	利潤：	UI
25	Taxa de renda:	Податок на доходи	所得税	소득세	所得税	所得稅	UI
26	Divida:	"Борг: "	負債：	부채:	债务：	債務：	UI
27	Casa	Головна	ホーム	집	主页	首頁	UI
28	Graficos	Курси	チャート	차트	走势图	走勢圖	UI
29	Corretora	Біржа	取引所	거래소	交易所	交易所	UI
30	Mercado de acoes	Фондова біржа	株式市場	주식 시장	股市	股市	UI
31	Facilidades	Послуги	施設	자산	设施	設施	UI
32	Conselheira	Радниця	顧問	자문	顾问	顧問	UI
33	Imobiliaria	Нерухомість	不動産	부동산	房产	房產	UI
34	Carro	Автомобіль	自動車	차량	车辆	車輛	UI
35	apos vender sua casa	після продажу вашого будинку	所有住宅売却後	주택 매각 후	卖房后	賣房後	UI
36	apos vender sua carro	після продажу вашої машини	所有車売却後	차량 매각 후	卖车后	賣車後	UI
37	Venda	Продаж	売却	매각	出售	出售	UI
38	Compra	Купівля	購入	매입	购买	購買	UI
39	Voce quer vender seu carro por	Ви хочете продати свою машину	次の金額で車を売りますか。	다음 금액으로 차량을 판매합니다:	您想以此价格出售您的车吗？	您想以此價格出售您的車嗎？	UI
40	Voce quer comprar este carro?	Ви хочете купити цю машину?	この車を買いますか？	이 차량을 구입하시겠습니까?	您想购买这辆车吗？	您想購買這輛車嗎？	UI
41	Voce nao tem dinheiro suficiente.	У вас бракує грошей.	お金が足りません。	돈이 부족합니다.	您的余额不足。	您的餘額不足。	UI
42	Tem certeza que voce quer vender sua casa por	Ви впевнені, що хочете продати свій дім?	本当に次の金額で家を売っていいですか？	다음 금액으로 주택을 판매합니다:	您确定要以此价格出售您的房产吗？	您確定要以此價格出售您的房產嗎？	UI
43	Voce quer comprar este imovel?	Ви хочете купити це?	これを買いますか？	정말 매입하시겠습니까?	您想购买这个吗？	您想購買這個嗎？	UI
44	Sem carro	Немає автомобіля	車なし	차량 없음	没有车辆	沒有車輛	UI
45	Carro classe leve usado	Б/в легкого класу	中古軽自動車	중고 경차	二手轻型车	二手輕型車	UI
46	Carro classe leve	Легкий клас	軽自動車	경차	轻型车	輕型車	UI
47	Carro compacto usado	Б/в компакт	中古コンパクトカー	중고 소형차	二手小型车	二手小型車	UI
48	Carro compacto	Компакт	コンパクトカー	소형차	小型车	小型車	UI
49	Carro de classe media	Середній клас	大型車	중형차	中型车	中型車	UI
50	Carro de classe alta	Бізнес-клас	エグゼクティブカー	중형차	商务车	商務車	UI
51	Carro de Luxo	Представницький клас	高級車	고급차	豪华车	豪華車	UI
52	Sem casa	Нема будинку	住宅なし	주택 없음	没有房产	沒有房產	UI
53	Estudio flat 1R - pequeno estudio flat no apartamento	Квартира-студія 1R - маленька квартира-студія в апартаментах	ワンルーム1R - 小さなワンルームマンション	원룸 - 소형 원룸	单间公寓 1R——小型单间公寓	單間公寓 1R——小型單間公寓	UI
54	Estudio flat 1K - pequeno estudio flat com cozinha no apartamento	Квартира-студія 1K - маленька квартира-студія з кухнею в апартаментах	ワンルーム1K - キッチン付きの小さなワンルームマンション	주방 원룸 - 주방이 있는 소형 원룸	单间公寓 1K——带公共厨房	單間公寓 1K——帶公共廚房	UI
